month,channel,comment
Jan,Wall Street Journal,"Expecting 3-4 cuts this year, but housing will keep inflation high. As pointed out in the video, the fed has to balance inflation control without harming jobs, but the remarkable reported strength of the labor market combined with sticky inflation will put the fed in a position that Bullard's prediction that inflation hits 2% by the third quarter seems plausible. By that point, there's probably only time for a few cuts. When the fed does start cutting, there's enough people on the sidelines with some money that they want to put into housing, it seems that a gradual decrease (relative to the last series of cuts) might be expected. Additionally, increased consumer demand over the summer may keep PCE sticky above 2%."
Jan,Wall Street Journal,These rates are not that high historically. There is no need to tempt inflation to spark back up again when the economy ( at least the current data being presented) is doing well.
Jan,Wall Street Journal,"LOL. The Fed isn't going to surprise markets ""Ha-Ha, surprise rate cut!"" 😂😂😂"
Jan,Wall Street Journal,The problem isn't too much money its not enough stuff. H8gh interest rates kill domestic production.
Jan,Wall Street Journal,This is the first review I’ve seen from her and already she’s my favorite. Great delivery. And incredibly insightful. The “I did ______ for 24 hours” is an old YouTube trope by now but it’s a brilliant baseline for such a new device in such anew market. Forced her to find ways to do daily tasks and see the potential and downfalls of it when integrating into daily living. I can’t imagine anyone else doing that. Most reviewers are focusing on its productivity aspect.
Feb,CNBC,"In simpler terms: 1. Imagine Treasuries like loans we give the U.S. government, and they pay us back with interest. Traditionally, big foreign countries (China and Japan) and the Federal Reserve were the biggest lenders. 2. Now, they're lending less, and new lenders are stepping in. 3. These new lenders might be more picky about the interest rate they get, potentially affecting the U.S. economy."
Feb,CNBC,Economics have been sounding off on just how bad they think the next downturn might be . I need ideas and advice on what investments to make to set myself up for retirement
Feb,CNBC,"Understanding personal finances and investing will most likely lead to greater financial independence. By being knowledgeable about money and investing, individuals can make informed decisions about how to save, spend, and invest their money. A trader made over $350k in this recession influenced market"
Feb,CNBC,"You are trying to destroy their economy, but somehow you still want them to buy your securities.. Wow"
Feb,CNBC,"Like El Salvador president said, why do Americans pay taxes when treasury bonds are what pay for the government by the fed just printing more money and bond printed out to with no backing."
Feb,CNBC,"I read that Nvidia provides tech for crypto mining services/blockchain transactions. Could the current crypto pump be attributed to Nvidia’s great earnings and should I hold some crypto as well, cos tbh I’m having FOMO with the current crypto price at 64k."
Feb,CNBC,"With inflation at 3.70%, I'm looking to enter the market now and ride it out as the economy improves. I'm putting together a $350,000 portfolio with Stocks and ETF's. Do you have any recommendations with solid cash flow?"
Feb,CNBC,"In light of the ongoing global economic crisis, it is crucial for everyone to prioritize investing in diverse sources of income that are not reliant on the government. This includes exploring opportunities in stocks, gold, silver, and digital currencies. Despite the challenging economic situation, it remains a favorable time to consider these investments."
Feb,CNBC,"Concerns about a potential recession and the Fed's talk of interest rate hikes have left me uneasy. I'm unsure about my $440K portfolio strategy, considering the uncertainty of a recession and the possibility that interest rates may not rise significantly"
Feb,CNBC,"How is the US bond market ""the safest market""? We owe 33 or 34 trillion dollars. We can not even afford to pay the interest on that debt without raising the debt ceiling. Every few months, there's a threat of partial government shutdowns. Every time the government raises the debt ceiling, they essentially ""kick the can down the road"". That ""can"" (34 trillion dollar debt) is a huge metaphoric ""can""."
Feb,CNBC,"Buying a stock is easy, but buying the right stock without a time-tested strategy is incredibly hard. Hence what are the best stocks to buy now or put on a watchlist? I’ve been trying to grow my portfolio of $560K for sometime now, my major challenge is not knowing the best entry and exit strategie;s ... I would greatly appreciate any suggestions."
Feb,CNBC,"Too much debt to GDP and we have been running deficits for decades, in addition due to increase in interest rate, we have to print more money to pay earnings and to service our debt! Pretty straight forward. Oh, let’s not forget the unfounded liability…, SS for the seniors 😅😰 Game over!"
Feb,CNBC,The yield is creeping up while the demand is reducing. The reason is the buyers see the US bond market prices worth to trend downward
Feb,CNBC,"We still have high inflation way more than 4% probably 6-7%. It is compounded yearly. Inflation is slowing but still high and prices will not return to 2019 prices. So much free money, worse type of inflation, past few years. 2019 to now new car prices up 41%, used cars 32% with wages only 15% increase since 2019. Wages never keep up to cost of living mainly from inflation. You must have a business, stocks/bonds, and rental properties to stay ahead of inflation. Home prices have more than doubled in certain areas"
Feb,CNBC,"When the FED steps, it creates moneys to purchase bonds the government created. It is a fiat currency with private bank setting the rate backed by a government with the power to lay and collect taxes."
Feb,CNBC,"Former US grand strategist Zbignew Brzezinski said: ""It is IMPERATIVE that no Eurasian challenger emerges capable of dominating Eurasia and thus of also challenging America"". Because the US has just 4% of the world's population, and it's isolated from the Eurasia continent which has 70% of the world's population, or 87% with Africa included. Defensively, it's an advantage to the US, but economically, it's a handicap. That's why economically, Eurasia is a competitor to the US and the Euro is a threat to the dollar. How does the US with an isolated and just 4% of world's population maintain its position as the world's biggest economy? The dollar must stay as the world's reserve currency. This allows the size of the US economy to be highly scaled up, instead of being sized according to the fundamentals. To be the world's reserve currency, the dollar must be circulated in the world. The US created a huge consumption-based economy and shifted manufacturing outside, so that dollars flow out of the US to product suppliers like China or Japan. To make products, China and Japan need energy. The US created the Petrol-dollar scheme, so that dollar is circulated to Saudi. With the US stock and financial market much more lucrative than other countries, the dollars from Saudi are attracted back to the US. Money printed in the US to exchange for goods from outside eventually ends up with the Wall Streets, where the rich gets richer. And that completes the cycle of circulation of the dollars. The American Dream attracted top talents around the world to strengthen the US' science and technology sectors, and a technological gap is maintained between the US and other major economy like China, so that the US benefits from highly lucrative high-tech product/patent exports, while low profit manufacturing sector is outsourced to China and Vietnam. This is why world leader in 5G, Huawei, are banned in 2019. If China or Japan bring back all the dollars and exchange to their local currencies, it inflates the local currencies, making their exports expensive. So, China and Japan use some of the dollars to buy US debts (treasury bonds). That's why the US, a rich country, is in-debt to China which has just 1/5th of the US' GDP per capita. And by holding US treasury bills, China and Japan have to support the US dollar, for if the US dollar collapses, their hard earn money would become worthless. After Obama's ""Pivot to Asia"" in 2011, which aimed to contain China, China introduced the Belt and Road Initiatives (BRI) in 2013 and diverted some of the dollars into it to reduce the risk of putting all eggs in one basket, and hoping that after these countries are developed, China would have a wider trade market. With a huge population, if Asia and Africa develop rapidly, the share of the US' economy shrinks, then the Euro could replace it as the world's reserve currency. When that happens, the US would no longer be able to print money out of nothing without a hyper inflation like Venezuela. Then the size of the US economy has to fall back to the fundamentals, which today is quite a lot smaller than the inflated economy. That's why no country in Eurasia is allowed to catch up with the US' economy. When Japan was catching up fast on the US in the 1980s, they were knocked down to a three decade stagnancy by appreciating the Japanese Yen. And in the last 30 years, the US created conflicts, wars and color revolutions in the Middle East, Central Asia and Africa to destabilise the Eurasia-Africa supercontinent. When the US prints a lot of money, other countries' foreign reserves in dollars shrink in value. Furthermore, to prevent exports to the US becoming expensive, these countries have to print money too, which devalues the savings of the people, and causing inflations in these countries. It's estimated that our savings devalue by 6-9% per year after the abolishment of the gold-backed Bretton Woods system, after which the US prints money based on just the creditability of the dollar. North America is relatively easy to defend, yet the US has a military budget more than the total of the next 9 countries in the top 10, to protect the dollar with its 800 military bases worldwide. For the record, the US had no mercy on threats to the dollar: ﻿﻿In 2000 Saddam Hussein said he would start selling oil in Euros not Dollars. > Saddam was hanged by the US. ﻿﻿In 2009 Gaddafi made Libya export oil in Gold Dinars, not in dollar or Euro. > Gaddafi was killed by US-backed NTC. ﻿﻿Syria had an independent Central Bank NOT under Federal Reserve controlled Bank of International Settlements. >> Obama attempted to overthrow Bashar al-Assad. Iran has been trading oil in currencies other than US dollars since 2011. > Iran was being sanctioned by the US. After being sanctioned in 2014, Putin started to trade in non-dollar. In 2019, Putin completely ditched dollars in oil trades, sold almost all the US treasury bonds, is now the forerunner in de-dollarization. > The US tried to topple Putin by supporting Alexei Navalny. And now the Ukraine war to weaken Russia China (1) introduced the BRI in 2013 which helps many countries to develop and speed up the integration of Eurasia, (2) used non-dollar in oil trades with Iran and Russia, (3) introduced the CIPS, an alternative to the West's SWIFT system which has been weaponized by America, (4) China's economy and high technology are catching up fast. >> China has become the US' #1 target. If a country supports the dollar, it's being looted; if a country doesn't support the dollar, the government is changed by the US. This is financial slavery. The Fed has printed 80% of all US dollars in existence since Jan 2020. There was $4.02 trillion dollars in circulation at the beginning of 2020. The number reached $20.08 trillion by Oct 2021. This amounted to an astronomical 34 trillions debt. Coupled with a global rising urge to diversify into non-dollar reserves caused by the US' sanctions to 39 countries, the dollar is in a creditability crisis. This is the major development which shapes geopolitics in the world today. The US cannot have direct wars with Russia and China because they are nuclear armed. Proxy wars put the battlefields outside of the US, and the US would looked like an outsider. Remember in the 1980s, the US supported the Afghan Mujaheddin in a proxy war against the USSR. Russia and China have clearly defined their redlines. Us would use its collaborators Zelensky and Tsai to push across the redlines to trigger the wars, and it would sell weapons to its allies in NATO and AUKUS, and get them to support the wars. After the dissolution of the USSR in 1991, US President Bill Clinton had two choices: to integrate Russia into Europe and abolish NATO, OR, to slowly alienate Russia to keep Russia and Europe divided. Clinton chose the latter, because if there's no more Russia ""threat"", there would be no more NATO to control Europe. As the first NATO Secretarv General. Lionel Ismav described the military role of NATO: ""To keep America IN, to keep Russia OUT, to keep Germany (Europe) DOWN"". NATO also allows the US to place missiles in Europe, so if a war break out in Europe, missiles would be flying between Moscow the East and Lisbon in the West, while the US remains safe across the Atlantic. And politically, the EU is an American creation, as much as a European one. It's much easier for Washington to control ruling elites at Brussels than having to control all politicians in Europe. The EU is used an ally or a sacrificial depending on the geopolitical needs of Washington. The proxy war in Ukraine: 1.Divided Europe from Russia and divided Eurasia. 2. Killed Nord Stream Il gas pipeline and German firm Energie Baden-Wuerttemberg has signed up for gas from America Venture Global LNG for 20 years. The US gained control over energy supply to Europe. 3. Created continuity for the Military Industrial Complex after pulling out of Afghanistan. 4. Most importantly, the war strengthened the dollar. Dollar against Euro is now the highest since NATO's bombing of Yugoslavia in Mar 1999 (happened two months after the official launch of Euro as the currency of the EU, which threatened the dollar). A strong dollar together with the Fed's interest rise in 2022 cause capitals from all over the world to flow into the US' economy, while collapsing other economies, like Sri Lanka. Else where, two months after ignoring a warning from Washington against his visit to Moscow, highly popular Imran Khan was ousted from the PM post of Pakistan on 9 Apr 2022. A month after ignoring Biden's demand to increase oil production, secretary-general of OPEC, Mohammad Barkindo died unexpectedly on July 6 2022. The US isn't relinquishing its privilege to loot. Remember after WW II, Europe and Asia were devastated, but the US emerged as the world leader and the dollar became the world's reserve currency."
Feb,CNBC,No mention of federal budget deficit which is rising by $1 trillion every 100 days
Feb,CNBC,This is what happens when you don’t understand how important that everyone else is to your economy and braking and not creating trade agreements.
Feb,CNBC,"They didn't mention about interest rate risk or duration risk. When the US Federal Reserve hiked the interest rates, the value of your treasury holdings fell. The Feds increased the rates to combat inflation, the increase rates is hoped to slowdown the economy and reduced dollars circulation leading to stronger dollar, etc etc. But increased rates also have my side effects, one of which lowering the value of their long term bonds. For foreign banks, buying these US treasuries mean they will have to exchanged their currency to dollars. Now imagine the rates of exchange before and after the hike of interest rates. They are borrowing dollars to buy bonds that made lower yield than their borrowing rates. Literally losing money. This is the case with one of Japanese big bank Norinchuukin. China also dumping billions of US treasuries despite losing money. The US monetary policies is far from stable and any decision the feds made and will make will affect their treasuries."
Feb,CNBC,Judging from the comments I see total lack of understanding why risk free sovereign debt is purchased. It should be noted that all other debt is priced higher and probably more suitable for Consumers and the general public. The idea that there is a large domestic market for 10 year Treasury notes is probably not true although can be tried. China is an example of a very large economy that restricts sovereign bond holders almost exclusively to domestic buyers but has found that without international participation you aren't leveraging external capital investment
Feb,CNBC,"I see inflation picking up again. If it does, then the Fed can either raise rates or hope it's transient. Again. Frankly, I think they (and Yellen) have the same courage and competence against inflation that Olaf Scholz demonstrates in the face of Putin's butchery - none."
Feb,CNBC,"This is marketing to sell bonds to retail investors. In reality, such a move just shows that the lack of foreign demand for treasuries is starting to worry decision makers in DC and in the big banks."
Feb,CNBC,Fed does not need to hike rates since 10 year treasuries have increased increasing mortgage rates
Feb,CNBC,"Debt papers should change to a Preferred Shares model which is perpetual. Just put term premiums for buyers who hold the preferred treasuries for 10 or 20 years. This way, when a foreign holder unloads, they would be the one looking for a buyer - unlike the current model which the foreign buyer simply waits till maturity and gets paid the principal, then the FED needs to look for new buyer of the debt that needs to be rolled over."
Feb,CNBC,"this is clearly just an ad buy so we can buy more treasuries, so the fed doesn't have to. Treasuries are not risk-free return, more like return free risk. Treasuries are by far the dumbest bond you can buy. Essentially with treasuries, as a tax payer, you are buying your own taxes back and then they tax you again for your gains from buying your taxes back. You will make more money buying high quality corp bonds or simply just putting your cash in a MM fund. Also, companies like AAPL and MSFT are technically more solvent than the US government. If the treasury keeps issuing these t bonds and there are no buyers, the fed will be forced to print more money and buy them. This will cause another wave of inflation similar to the 70s"
Feb,CNBC,"Buying fixed-interest rate securities hurts the American Economy, so long as our economy is growing slower than that fixed interest or inflation! It's free money for other foreigners, and I it worsens inflation. Am I wrong?"
Feb,CNBC,"iirc, US bonds are mostly bought by foreign country, China for example, to keep the US's interest rate low, low interest rate means consumer has the ability to buy big purchase such as house or car, low interest rate also means consumer has more money to spend, since the US the follow consumerism, money will keep moving in the market. This is a good thing for country like China since they want a market that keep consuming the goods they export. It's a win-win situation for both countries"
Feb,CNBC,"Please don't listen to these people. Bonds are declining in value. Real interest rates a still negative. We are in the everything bubble. Commercial real estate defaults and the subsequent bank defaults will probably pop these bubbles. Only real assets, like precious metals, farm land, energy producers will weather the storm. Berkshire Hathaway is holding over 150B in cash. If bonds were such a good value, Warren would be buying."
Feb,CNBC,A bond is a promise by the borrower to pay back the capital with interest. Its only collateral is a paper with nothing more than a promise to repay with interest at whatever interest on the coupon. The question is why would anyone choose to buy a promise to pay versus the alternative of buying shares in a listed company with a proven business model which has a viable asset base that generates income and profit that pays a regular dividend. Bottom line is what an investor gets in return for his investment with an assured and tangible business model whose financials are subject to audit and governed by commercial law with financial statements to show tangible business practices within the self-checking rules of competition that are investors' safety nets. A bond is basically a promise by the borrower to pay back with interest but it has no assured defined business plan. It is just a blank check!
Feb,CNBC,All fun and games until the grid goes down and the entire economy stops.
Feb,CNBC,5.5 million people- economy ran by oil profits. The whole country is slightly smaller than California. So? What.
Feb,CNBC,Norway is the 8th largest natural gas producer in the world and ranks as the 4th largest exporter of natural gas globally (pipeline and LNG). Norway has replaced Russia as the largest supplier to the European natural gas market
Feb,CNBC,"""This article is truly inspiring! Norway has proven that transitioning to electric vehicles (EVs) isn’t just a dream, but something achievable with the right policies and long-term commitment. Government support through tax incentives, investment in charging infrastructure, and public awareness about environmental issues have been the key factors behind their success. The fact that over 50% of new cars sold in Norway are EVs shows that big changes start with consistent small steps. What do you think—can other countries replicate Norway’s model? Or are there unique challenges that other nations need to address in adopting EVs?"""
Feb,CNBC,"It's not that the demand for premium seats has increased, it's that economy seat spacing and quality has decreased so much over the years that now ""premium"" seats are really just what regular economy used to be."
Feb,CNBC,Premium economy is what a normal seat was before the airlines went rogue
Feb,CNBC,"The reason we pay for “premium” is because it’s the basic economy we used to pay for years ago. We are simply paying for a rebranded, bare minimum service. At least domestically here in the U.S."
Feb,CNBC,"I have been loyal to Delta for decades and maintained top status for many years. The pandemic basically stopped my business travel and I lost my top status. Now I fly with much lower status and notice no difference! In fact, I can now get one of the better economy seats and hold it, instead of getting ""upgraded"" into a middle seat or other less desirable seats. All the things they talk about are just marketing fluff. Food is still crappy. Economy meal on Asian airlines beat US Domestic First Class meal... The only real area the US airline did better is Internet. Having the ability to check work email and keep up with some work helps me to be less stressed when I land, especially after a long flight."
Feb,CNBC,Being on an American air carrier in Economy class is like being in the hottest corner of Hell.
Feb,CNBC,"I'm almost six feet tall, so flying in any economy seat is very uncomfortable, no matter how much I get up and stretch my legs. I'm in agony for a day or two after a long flight. Premium economy is often triple the price of economy so I can't afford it. I couldn't care less about meals, WiFi or in-flight entertainment. Give passengers more legroom in economy!"
Feb,CNBC,"The economy airlines have shrunk their seats to the point they have to leave the back 2 rows empty (12 seats).... due to weight. Hear me out, what if they made the seats bigger again and just left out those 12 seats, automatically reducing the weight of the plane?"
Feb,CNBC,The airport lounge is exactly why I went with Venture X. I’m hoping they continue to expand their market share. If they could get into Charlotte and Atlanta I would be set
Feb,CNBC,"If there’s a bunch of kids running around and so many people, lounges aren’t worth it. The whole point of lounge access is exclusivity and luxury, and I don’t love airlines for their bastardisation of economy but restricting lounge access is the right thing to do in my opinion"
Feb,CNBC,"The majority of people would pay extra for larger economy seats if we knew beforehand that we were getting value of the money. It isn't always easy to find out the information in advance before purchasing a ticket what seat width and pitch you are booking, they use terms like extra leg room or economy plus but that means nothing without the facts to compare."
Feb,CNBC,Air travel is becoming such an increasingly terrible experience if you can't afford to drop that extra cash on upgrades. It's not like basic economy seats don't also cost an arm and a leg.
Feb,CNBC,I’m for consistency: my lounge is the Burger King in the terminal with a sloppy burger and my seat in economy gets consistently worse every year ✌️
Feb,CNBC,"I think it was the right step to restrict access for basic economy seats. If everyone get access the quality food, drinks, cleanliness, wait time and experience in the lounge goes out the window and the airline needs to please its higher paying and frequent flyer customers in the lounge areas."
Feb,CNBC,my parents have exclusively owned Hyundai vehicles for the last 2 decades almost. and they have gotten massively better in the Indian market in the last 5 years specifically. can't wait for genesis to be launched in India
Feb,CNBC,I've been saying this for years and now it's be widely recognized. I appreciate what Hyundai has done on the automotive market
Feb,CNBC,I own a Genesis G80 and can vouch for the quality. It's well made and my mechanic says these things are pretty bullet proof. They're also excellent to drive and super comfortable. Hyundai have done a great job in recent years stepping up their game and I can see myself buying more of them.
Feb,CNBC,"Hyundai is the most beloved brand here in India, the market share is #2 in this big country. Expecially Creta is a great SUV which opened SUV market in India 8 years ago. Respect Hyundai!"
Feb,CNBC,"Owner of a 2022 Elantra N, and it's a blast of a car and a thrill of a time to drive everyday. Hyundai has seriously blown up and they're here to play. Screw the haters living in 1995, don't always listen to your mechanic buddies saying they're unreliable.... theyll say that but only ever work on the old old models in early 90s and 2000s/2010s.... it's 2024 and Hyundais are very impressive these days. And invest time researching into Hyundais N division it'll make you appreciate the engineering they put into their cars. Don't listen to the hate, a lot of people will talk out their butt."
Feb,Bloomberg,"Don’t be fooled by the beauty. I watched her throughout her career, Maria is one of the mentally toughest players ever to play tennis, male or female. Never had a tantrum on court, never got down on herself, always channeled her frustrations into positive energy. Only other player I can say the same about is Rafael Nadal. Even Federer, Djokovic and Serena had meltdowns."
Feb,Bloomberg,"I think her North Star was the pitch. The pitch to invest. When she invested in the lotion company. It was spontaneous, passionate, relevant and very daring, though that has not been her most value-added investment. That was her career as tennis player. I love her respect for her Mom and Dad."
Feb,Bloomberg,How is ministry of Ayush related with Brands like Patanjali and Dabur which were literally in tge market even before the formation of this ministry. And where does ministry of Ayush promote brands like Patanjali etc. Do they even know the mandate of ministry of Ayush. Furthermore where has Modi said that Ayurveda should replace Indian medical system like literally during Covid he sacked his Health Minister for supporting Patanjali. Dude this is just dumb propoganda . Nobody is forcing people to choose ayurveda however while there is no doubt that Ayurveda has its own flaws tge Indian Medical System cannot absolve themselves of there folliies . The fundamental reason of this incline is due to healthcare becoming an cash cow for hospitals and the common people literally loosing their life savings to a disease .
Feb,Wall Street Journal,"Markets are underestimating how long rates will remain elevated. The FED DOES NOT want to return to the era of zero interest rates - it created too many bubbles (Bitcoin, EVs..). Until we hit a recession, they will remain elevated."
Feb,Wall Street Journal,"Brother, when are you going to start reporting on Bitcoin"
Feb,Wall Street Journal,"You could add a backpack for the film, picture a soldier with a gatling gun with the ammo belt being fed from a backpack."
Feb,Wall Street Journal,Now only if they'd invest in their GT screen equiped theaters and upgrade them all with AT LEAST Dual Laser. Dallas' IMAX has had a broken 15/70mm IMAX projector for too long.
Feb,Wall Street Journal,"Interesting! There is also a video from the cinematographer of Oppenheimer, Hoyte van Hoytema, that is interesting about the rigors of filming Oppenheimer. iMax didn't have a B&W film stock in 65mm so they had to contact Kodak to make it for the scenes Christopher Nolan wanted to be filmed."
Feb,Wall Street Journal,"In light of the ongoing global economic crisis, it is crucial for everyone to prioritize investing in diverse sources of income that are not reliant on the government. This includes exploring opportunities in stocks, gold, silver, and digital currencies. Despite the challenging economic situation, it remains a favorable time to consider these investments."
Feb,Wall Street Journal,"You buy low and sell high. China's downturn is a buying opportunity. America's upturn is selling opportunity. All of these influencers telling you to invest in US stocks now are trying to raise the demand of theirs before they sell. They are hyping them up for profit. Unless you think China will collapse, it's a great buy to hold for 2 years"
Feb,Wall Street Journal,China investors are buying gold that's why it's high now and staying away from real estate and stocks
Feb,Wall Street Journal,"I am in Japan. We had our smallish savings invested in Japanese stocks, using the buy what you buy paradigm, concentrating on post COVID rebounds. And we did well. But lately the boom in Japanese stocks seems a bit, or a lot, like a bubble. I not really feeling it. Japan may keep booming, but with political scandal especially, it may not. So I put half of our money into a Chinese EFT a little while ago. The stocks fell so we are still down a percent but it jumped 3% today. I came here to see what was happening. So, it could just be the Chinese government doing a BoJ? I am going to hold. I teach in a Japanese university. The Chinese overseas students seem the most energetic, healthy, positive."
Feb,Wall Street Journal,"Funny. Even in a booming economy, BABA has STILL been down on a year basis."
Feb,Wall Street Journal,"If there's one thing investors have learned over the years,it's that when it comes to China, nothing is certain. As a Chinese, I agree.😂"
Feb,Wall Street Journal,The same philosophy applies....Buy when everyone is selling......Buy...Buy more ..They say China is un-investable if so why is China still selling goods to other countries...
Feb,Wall Street Journal,then explain why the japan and german stock markets are heading upwards when their economy is heading down.
Feb,Wall Street Journal,"Investors are not fools, its a buying opportunity."
Feb,Wall Street Journal,This artificial buying will only make it harder for these stocks to continue to grow.
Feb,Wall Street Journal,"Hang Seng is a Hong Kong stock index not a Chinese one. Clumping them together is completely absurd. I doubt for example that AIA, HSBC or Cathay Pacific’s performance reflect that of china’s"
Feb,Wall Street Journal,"So with their stock market in the toilet a good time to invest if you’re an optimist, China has many many problems. Xi just said traders should not pursue hedonism, only pleasure has worth thinking. So apparently making money is bad."
Feb,Wall Street Journal,"At the end it weighs between geopolitical issues and companies making profits. By that predecessor the fall of China has not even began yet as China is yet to clarify its future plans on southward territorial expansion. The stock market aren't doing well either, you can check the index fall. The fall of Chinese market will be slow unlike in the west bubble pops as western countries aren't communist. I'd suggest staying out or else the money will be stuck when the time comes. There are better opportunities available to invest."
Feb,Wall Street Journal,"Good luck getting your money back. I hope these institutional investors don't go crying to Uncle Sam when billions in paper gains are worth nothing because, like Russia, they cannot repatriate their profits."
Feb,Wall Street Journal,I've been thinking about investing in a China Tech Stock ETF. Obviously I'm not the only one
Feb,Wall Street Journal,"thank you so much, it's like a compliment for our country, my personally opinion dont think it's a good timing for investing in our country. because our economy isn't great and it's pretty vulnerable atm, i think with the perfect storm which geopolitical uncertainty ahead, our country is like japan was in 90s , our country is like in our lost decade, that's why our asset looks cheap but if you're institutional investors ,I dont think it's a good timing for invest in our country."
Feb,Wall Street Journal,I am not gonna Invest there
Feb,Wall Street Journal,"Wow, who knew flooding the market with ukrainian grains can lead to farmers protesting across europe."
Feb,Wall Street Journal,"A couple of points: 1. Poland has been at the forefront of aiding Ukraine. We sent a LOT of our military equipment, the counter-offensive under Kharkiv was largely done with our T-72 tanks. We lobbied for every sanction and every package for Ukraine. We hosted millions of refugees a a grass-roots wave of historically unprecedented support. Ukrainians are eligible for every social benefit, including pensions on equal terms and received government ID's within months of arriving. 2. Grain isn't even a huge part of Ukrainian budget. Ukraine is not pressed for foreign currency since all aid is in dollars, euro or direct equipment transfers. 3. Ukraine was the one that escalated the situation by going straight to WTO. I am whole heartedly in support of UA, my family continues to host an elderly couple from Kyiv, I have personally donated money. However, you can imagine the growing annoyance among Poles with the shear ungratefulness and self-entitled diplomacy of the UA government. We are also an agrarian country. We also have millions of households that depend on agriculture. Can we be adults here and acknowledge that this isn't some whim that Polish farmers convinced themselves of? Can Ukrainians see that despite having overwhelmingly overlapping political interest we cannot throw an entire sector of the economy under the bus for them? Also, the meeting that Zelensky proposed is such a farce. Does anyone really think that ministers will just sit in a field in Subcarpathia and talk it out? When was the last trade deal that got settled this way, the 13th century? Why this clownshow?"
Feb,Wall Street Journal,"To be fair, this issue is more complicated than you tried to highlight. First of all, the blockades of Polish farmers aren't only related to the fall in prices of their goods due to the admission of Ukrainian goods to the EU market. Initially, this possibility was linked to the fact that Poland will only be a transit country. Unfortunately, that's not the case. Many large Polish agricultural companies, such as Wipasz, have confirmed that they have bought Ukrainian grain. So it has a great influence on the price of goods in Poland. Secondly, Ukrainian goods don't meet EU food safety standards. So their quality isn't as good as it should be according to Brussels' standards. This means that Polish grain can't compete fairly with Ukrainian grain. Thirdly, these protests have been going on since last autumn. Polish farmers are frustrated that this issue hasn't been resolved yet. And finally, the Green Deal. Polish farmers are against it because they feel that no one has consulted them. Many mainstream media in Poland admitted that it was a communication nightmare from the EU side. So Brussels should learn a lesson from this. It's a big picture of the problem, thank you very much."
Feb,Wall Street Journal,"I think we’re just fed up with Ukrainie playing victim card every time, instead of addressing very real issues. Ukrainian food doesn’t have to comply with the strict EU rules and due to that it’s cheaper and European farmers can’t compete. Ukraine doesn’t want to admit to this unfair advantage and just pretends like Europeans livelihoods are just “politics”"
Feb,Wall Street Journal,"You skipped key facts in the story. Ukraine doesn't have to adhere to strict EU standards and ""green laws"" when producing their grain, they also use pesticides that are prohibited in the EU. A lot of the grain wasn't even fit to be consumed by humans. The politicians made a deal to aid Ukraine and bought their grain and Polish farmers grain that they produced ended up rotting in storage. Many products that arrived from Ukraine were contaminated with salmonella, chemicals, mold and plastic(found in raspberries). It's not only about farmers being treated unfairly, average citizens don't want to be fed this poisonous garbage while the country is capable of producing good quality food locally."
